sample,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
1,dlzs_snap_k,quantized_exact,25,0.9153000594177058,0.7272727272727273,0.9390374331550794,72,6120,0
1,dlzs_snap_k,quantized_exact,30,0.9208647561588733,0.6923076923076923,0.9470588235294111,72,6120,0
1,dlzs_snap_k,quantized_exact,35,0.9276470588235293,0.7333333333333333,0.9498039215686275,72,6120,0
1,dlzs_snap_k,quantized_exact,40,0.9328767781622445,0.7352941176470589,0.9584775086505178,72,6120,0
1,dlzs_snap_k,quantized_exact,45,0.9391570303335001,0.7692307692307693,0.9641025641025636,72,6120,0
1,dlzs_snap_k,quantized_exact,50,0.9436160510715921,0.7674418604651163,0.9674418604651168,72,6120,0
1,dlzs_snap_q,float,5,0.9088235294117641,0.4,0.9835294117647058,72,6120,0
1,dlzs_snap_q,float,10,0.9202251270878714,0.5555555555555556,0.9830065359477123,72,6120,0
1,dlzs_snap_q,float,15,0.9238185017596771,0.5384615384615384,0.9647058823529405,72,6120,0
1,dlzs_snap_q,float,20,0.9276720492118405,0.6470588235294118,0.960553633217992,72,6120,0
1,dlzs_snap_q,float,25,0.9316325014854419,0.6818181818181818,0.9545454545454539,72,6120,0
1,dlzs_snap_q,float,30,0.93739944695827,0.7307692307692307,0.9606334841628956,72,6120,0
1,dlzs_snap_q,float,35,0.9422167755991286,0.7333333333333333,0.9600000000000001,72,6120,0
1,dlzs_snap_q,float,40,0.9455209534794299,0.7647058823529411,0.9633217993079574,72,6120,0
1,dlzs_snap_q,float,45,0.9502430031841784,0.7692307692307693,0.9671191553544488,72,6120,0
1,dlzs_snap_q,float,50,0.9550767593859254,0.813953488372093,0.9753761969904241,72,6120,0
1,dlzs_snap_q,quantized_exact,5,0.9087908496732019,0.4,0.9835294117647058,72,6120,0
1,dlzs_snap_q,quantized_exact,10,0.9202251270878714,0.5555555555555556,0.9830065359477123,72,6120,0
1,dlzs_snap_q,quantized_exact,15,0.9238310708898934,0.5384615384615384,0.9647058823529405,72,6120,0
1,dlzs_snap_q,quantized_exact,20,0.9276624375240282,0.6470588235294118,0.960553633217992,72,6120,0
1,dlzs_snap_q,quantized_exact,25,0.9316547831253705,0.6818181818181818,0.9545454545454539,72,6120,0
1,dlzs_snap_q,quantized_exact,30,0.937393162393162,0.7307692307692307,0.9606334841628956,72,6120,0
1,dlzs_snap_q,quantized_exact,35,0.9422113289760349,0.7333333333333333,0.9600000000000001,72,6120,0
1,dlzs_snap_q,quantized_exact,40,0.9455065359477113,0.7647058823529411,0.9633217993079574,72,6120,0
1,dlzs_snap_q,quantized_exact,45,0.9502430031841784,0.7692307692307693,0.9671191553544488,72,6120,0
1,dlzs_snap_q,quantized_exact,50,0.9550805593555256,0.813953488372093,0.9753761969904241,72,6120,0
1,drum3,float,5,0.9146078431372544,0.4,0.9858823529411763,72,6120,0
1,drum3,float,10,0.9287218591140154,0.5555555555555556,0.979084967320261,72,6120,0
1,drum3,float,15,0.9321769733534429,0.6153846153846154,0.9638009049773748,72,6120,0
1,drum3,float,20,0.9369857747020364,0.7058823529411765,0.9653979238754316,72,6120,0
1,drum3,float,25,0.9403669043374919,0.7727272727272727,0.9572192513368976,72,6120,0
1,drum3,float,30,0.9458207642031167,0.7692307692307693,0.9660633484162893,72,6120,1
1,drum3,float,35,0.9498093681917213,0.8,0.9647058823529419,72,6120,0
1,drum3,float,40,0.9534409842368308,0.7941176470588235,0.9737024221453275,72,6120,0
1,drum3,float,45,0.9577719121836759,0.8205128205128205,0.9755656108597283,72,6120,2
1,drum3,float,50,0.961038911688707,0.8372093023255814,0.9783857729138171,72,6120,0
1,drum3,quantized_exact,5,0.9146405228758164,0.4,0.9858823529411763,72,6120,0
1,drum3,quantized_exact,10,0.9286855482933909,0.5555555555555556,0.979084967320261,72,6120,0
1,drum3,quantized_exact,15,0.9321769733534429,0.6153846153846154,0.9638009049773748,72,6120,0
1,drum3,quantized_exact,20,0.9369761630142242,0.7058823529411765,0.9653979238754316,72,6120,0
1,drum3,quantized_exact,25,0.9403669043374917,0.7727272727272727,0.9572192513368976,72,6120,0
1,drum3,quantized_exact,30,0.9458081950729004,0.7692307692307693,0.9660633484162893,72,6120,1
